Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_signal,MACD_diff,SMA_20,SMA_50,EMA_20,EMA_50
2023-01-09,6055.32861328125,6143.943368129231,6030.065689028151,6092.251348728087,134158.0,40.84837292771904,-133.5839692132604,-157.892085330905,24.3081161176446,6138.438256835938,6471.7728125,6192.11429137312,6557.294698566803
2023-01-10,6024.04052734375,6058.242825774837,5990.227268789394,6055.327873332603,101262.0,39.778081802655365,-131.58833682231852,-152.6313356291877,21.04299880686918,6117.41171875,6456.30314453125,6176.1072662274655,6536.382770283546
2023-01-11,6040.55859375,6111.295057708245,6026.178351471088,6054.161705152869,109176.0,40.66202584329968,-127.20754447424497,-147.54657739819916,20.339032923954193,6097.764892578125,6441.942138671875,6163.197868848659,6516.938684929289
2023-01-12,6020.98046875,6054.502424878796,5957.920420079556,6041.336744928415,95308.0,39.914210614747304,-123.8874288798952,-142.81474769453837,18.927318814643172,6080.581274414062,6427.434423828125,6149.6533545535485,6497.489343118336
2023-01-13,6065.28759765625,6084.040269530699,6014.518840080449,6048.526620274765,91031.0,42.49184844265283,-116.33990434046336,-137.51977902372337,21.17987468326001,6071.4890625,6414.7951953125,6141.61852056333,6480.540255061
2023-01-16,6075.58740234375,6120.428996324098,6045.126051854322,6073.789753297657,81340.0,43.102903432028484,-108.27915392178602,-131.6716540033359,23.392500081549883,6066.608959960938,6402.0626953125,6135.329842637655,6464.659751032873
2023-01-17,6077.43310546875,6101.967289235182,6048.526492912262,6099.052336708477,58291.0,43.21933450662965,-100.58256512314256,-125.45383622729724,24.871271104154687,6063.718286132813,6388.037880859375,6129.815867669187,6449.474392383299
2023-01-18,6085.3525390625,6106.826119589575,6050.08179993734,6092.251355581008,64601.0,43.751208741004525,-92.77448443726189,-118.91796586929019,26.143481432028295,6066.6478271484375,6373.723525390625,6125.581264944742,6435.195104017778
2023-01-19,6123.00341796875,6242.808251144807,6073.837790601298,6104.882224699493,220851.0,46.325412215921226,-82.5962943069444,-111.65363155682103,29.057337249876625,6078.834765625,6361.596337890625,6125.335755708933,6422.95229280017
2023-01-20,6197.47998046875,6217.398821459297,6105.416069061221,6122.371564948229,145009.0,51.09331200687525,-67.73951022413803,-102.87080729028443,35.1312970661464,6105.1033203125,6350.2435546875,6132.206634257487,6414.110241336193
